Table 6. Carbon intensity of the energy supply by State (1970–2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilograms of energy-related carbon dioxide per million Btu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,,Change,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1970-2021),,(2020-2021),
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,69.9,68.2,68.7,68.3,66.0,66.8,67.3,60.8,59.3,59.2,56.8,56.7,51.2,51.8,53.2,59.7,62.2,61.5,61.2,59.4,61.0,60.1,59.9,60.5,57.4,58.6,57.1,57.3,57.2,57.43,58.73,58.19,58.0,58.0,57.3,58.1,58.3,58.7,56.4,52.0,54.1,52.4,50.4,49.2,50.2,49.0,48.7,46.8,47.2,45.2,43.5,44.9,-35.78%,-25.0,3.14%,1.4
Alaska,62.3,62.9,62.6,63.4,63.4,62.6,62.7,61.2,60.1,58.3,58.8,60.9,58.5,59.2,59.3,61.1,62.3,59.6,58.0,57.8,58.1,57.2,57.1,57.2,57.1,56.9,57.2,58.2,58.4,59.09,58.73,57.84,58.3,58.5,59.6,59.5,60.9,60.4,60.1,58.3,58.1,57.9,57.3,57.0,56.9,57.1,56.3,56.1,57.1,56.6,56.2,56.8,-8.87%,-5.5,1.06%,0.6
Arizona,50.3,50.9,51.6,53.7,55.6,59.3,61.5,64.5,62.9,65.6,62.9,67.4,68.6,61.5,61.4,62.3,55.4,55.8,52.9,62.9,55.6,54.1,54.5,57.2,56.7,52.6,52.1,51.6,52.5,53.76,55.44,56.41,55.2,56.5,56.7,57.5,58.2,57.2,56.1,55.1,56.2,55.4,54.6,55.6,54.5,52.8,51.2,51.3,51.5,49.8,46.6,46.7,-7.23%,-3.6,0.26%,0.1
Arkansas,52.7,53.4,54.5,53.4,53.4,50.2,52.7,52.8,53.1,52.4,49.0,52.1,53.8,55.2,52.9,54.8,57.1,55.2,56.6,54.4,53.9,53.3,54.0,50.7,52.6,54.6,54.6,53.6,55.0,55.95,56.99,56.44,54.6,55.2,55.6,55.9,55.6,55.2,56.0,54.1,54.8,55.5,54.9,57.4,56.5,53.1,53.9,55.3,56.4,53.5,50.3,53.4,1.40%,0.7,6.14%,3.1
California,54.9,55.2,55.9,56.3,54.8,55.5,58.0,59.3,57.3,56.9,56.6,57.9,54.8,53.5,54.0,54.2,53.1,53.9,54.7,53.0,53.6,53.2,53.0,51.7,53.5,52.2,52.5,53.0,51.8,52.40,52.96,54.00,53.8,53.1,53.9,53.2,53.3,54.2,53.9,53.6,52.3,50.5,52.7,51.9,51.9,51.9,50.8,49.7,50.8,49.7,48.3,48.4,-11.76%,-6.5,0.35%,0.2
Colorado,62.8,62.2,62.9,63.6,64.0,65.4,66.4,67.9,67.6,67.3,68.8,70.6,70.3,69.2,69.7,70.0,70.2,70.9,70.4,70.6,72.1,70.3,71.0,70.2,70.7,69.8,69.5,70.2,69.5,70.56,69.83,69.22,69.9,69.1,69.2,68.9,68.9,67.8,66.8,65.7,66.0,65.3,65.5,64.4,63.6,63.2,62.0,62.1,60.8,59.9,57.0,57.5,-8.35%,-5.2,0.89%,0.5
Connecticut,65.7,61.4,60.5,63.7,59.8,58.7,55.5,55.0,54.4,54.5,53.6,50.8,50.1,51.2,50.8,52.1,48.9,47.9,47.8,49.8,48.7,53.1,49.6,45.6,46.1,46.1,55.6,62.6,59.2,51.32,49.96,51.84,51.1,51.4,50.8,51.5,49.5,49.3,49.6,46.2,46.2,45.1,44.8,44.5,45.2,44.7,43.9,44.0,44.8,44.5,43.8,44.1,-32.83%,-21.6,0.77%,0.3
Delaware,71.4,70.7,69.5,69.7,69.4,69.3,68.8,69.0,68.9,68.2,71.1,73.3,72.9,75.6,74.1,73.3,74.3,74.3,75.2,73.7,76.3,75.6,76.2,75.8,74.3,71.8,72.1,73.1,72.9,70.65,71.45,69.56,69.1,71.3,71.6,71.7,71.3,71.7,70.6,66.9,67.1,62.4,61.3,61.6,60.3,60.0,60.2,60.2,60.5,60.6,59.9,60.7,-14.97%,-10.7,1.30%,0.8
