"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"61,433","72,173","78,812","80,788","85,067","87,782","102,696","115,172","122,533","156,631","182,039","200,962","214,377","196,965","201,488","232,172","254,649","293,489","324,010","299,774","295,745","279,661","409,057","437,627","482,889","474,429","504,252","499,211","521,398","576,192","584,082","602,660","627,237","623,613","623,042","704,062","718,749","708,741","723,206","725,331","742,061","735,745","732,909","733,471","775,019","797,723","746,457","723,227","650,500","639,276","639,133","640,854","630,647","597,148","596,361","613,106","593,587","601,178","604,191","605,430","639,944","684,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"866,594","831,311","881,239","913,155","979,212","1,044,616","1,088,204","1,138,573","1,246,669","1,343,138","1,393,497","1,384,940","1,478,039","1,527,209","1,547,657","1,515,130","1,551,806","1,623,443","1,638,359","1,648,767","1,644,874","1,604,035","1,499,050","1,445,946","1,544,598","1,519,675","1,504,733","1,582,639","1,651,726","1,683,173","1,659,374","1,675,029","1,742,421","1,789,235","1,879,952","1,955,073","1,984,926","1,956,297","1,997,696","2,040,647","2,093,922","1,898,857","1,960,152","1,952,741","2,065,880","2,065,572","2,083,658","2,086,092","2,002,980","1,799,636","1,941,909","1,916,810","1,891,076","1,932,020","1,967,057","1,916,945","1,923,027","1,903,905","1,957,431","1,927,044","1,841,408","1,965,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"425,974","431,586","456,788","484,672","527,123","528,740","566,110","596,737","635,396","681,052","708,904","700,736","744,634","820,083","798,333","785,659","840,830","886,292","887,040","872,687","859,238","821,800","792,462","796,587","799,005","789,513","759,564","736,170","817,720","882,855","849,198","837,103","865,939","939,962","971,500","1,023,242","1,042,511","1,061,415","1,081,796","1,100,812","1,141,593","1,096,056","1,118,366","1,100,644","1,091,797","1,116,515","1,113,117","1,128,983","1,110,210","1,041,215","1,129,013","1,131,010","1,075,516","1,106,666","1,121,760","1,062,465","1,054,169","1,057,611","1,117,595","1,097,181","1,035,335","1,079,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"282,993","304,835","324,913","348,302","369,663","375,200","403,460","414,501","456,156","498,192","520,401","554,212","616,452","670,117","676,309","660,004","691,884","738,889","747,985","786,479","754,491","787,920","746,494","758,000","802,626","843,102","852,973","865,824","906,415","943,115","950,195","955,235","985,332","1,000,842","1,056,612","1,095,057","1,163,696","1,187,416","1,240,977","1,285,003","1,332,442","1,341,725","1,334,302","1,354,530","1,404,378","1,443,201","1,491,841","1,498,158","1,465,548","1,379,229","1,434,250","1,475,386","1,442,764","1,460,855","1,471,831","1,492,117","1,522,012","1,528,744","1,539,983","1,554,490","1,505,793","1,563,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"3,449,919","3,609,108","3,724,117","3,923,736","4,219,633","4,385,719","4,645,217","4,841,003","5,115,122","5,356,783","5,499,139","5,747,656","5,872,011","6,047,069","5,816,324","6,032,845","6,186,312","6,361,466","6,472,696","6,727,621","6,540,472","6,332,205","6,076,050","6,092,316","6,533,180","6,601,489","6,501,121","6,938,475","7,143,783","7,420,313","7,439,330","7,326,333","7,307,625","7,138,289","7,272,978","7,295,566","7,405,310","7,528,200","7,806,315","7,801,794","7,893,162","7,918,465","7,963,161","7,848,348","8,216,594","8,151,473","8,246,625","8,260,399","8,074,758","7,769,975","7,647,617","7,651,423","7,447,693","7,562,889","7,477,126","7,573,842","7,703,773","7,828,256","7,925,755","7,898,681","7,052,622","7,387,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"424,556","461,749","468,348","465,929","498,054","508,687","531,922","555,487","622,770","648,877","677,623","691,909","756,325","801,930","787,106","784,438","818,799","835,096","850,246","856,031","838,088","816,311","833,092","831,430","867,717","869,749","859,444","866,162","899,364","915,127","944,299","994,850","995,693","1,062,928","1,065,404","1,091,927","1,142,176","1,138,201","1,184,705","1,206,091","1,268,642","1,369,867","1,370,535","1,372,163","1,399,562","1,435,703","1,451,336","1,483,847","1,487,439","1,464,621","1,516,415","1,477,060","1,444,707","1,475,531","1,491,729","1,498,481","1,467,501","1,474,403","1,524,948","1,565,544","1,449,530","1,509,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"507,999","518,130","536,644","545,224","563,507","569,505","609,289","624,114","648,770","667,657","693,930","682,588","717,611","743,064","714,126","689,513","742,109","748,110","768,737","755,692","728,226","695,795","696,739","688,418","715,073","723,070","739,744","763,522","795,471","811,311","775,895","776,710","810,197","795,996","800,069","782,296","820,990","811,129","791,157","834,267","844,550","829,135","815,224","894,333","907,099","875,719","819,793","842,119","774,587","766,180","769,660","743,143","727,831","747,138","751,780","757,067","725,275","729,190","756,243","735,382","666,750","704,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"119,871","118,175","120,458","121,016","132,268","159,170","169,525","182,216","181,890","195,629","205,891","199,397","188,830","193,442","171,284","163,161","164,436","163,353","160,278","152,431","153,262","149,271","163,811","162,575","167,024","165,934","174,696","174,233","174,976","180,533","185,266","191,358","191,482","198,476","193,593","196,284","193,511","191,092","186,974","191,690","198,047","193,476","197,752","193,758","201,417","200,934","186,420","194,924","184,103","186,471","190,361","183,601","172,731","174,777","179,243","178,272","174,577","166,918","174,651","167,469","143,900","150,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"156,406","150,335","161,918","172,781","173,156","184,269","192,519","187,575","206,901","219,454","219,722","222,353","232,526","246,392","228,887","218,797","229,178","227,666","226,261","244,675","242,340","195,218","186,552","197,917","220,487","214,953","217,072","227,480","234,133","241,618","251,796","255,250","261,314","266,225","261,444","262,936","273,242","274,786","272,891","286,222","305,695","292,031","308,593","303,732","289,192","299,825","287,815","293,722","291,503","259,382","266,328","285,552","283,401","280,780","280,880","284,612","280,875","280,001","300,475","298,525","277,060","295,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"809,559","848,703","949,391","994,376","1,049,548","1,111,530","1,180,231","1,223,737","1,349,462","1,453,793","1,577,450","1,674,133","1,804,005","1,995,319","1,929,045","1,939,837","2,062,020","2,217,477","2,327,321","2,422,499","2,511,917","2,482,043","2,402,137","2,457,345","2,551,259","2,698,976","2,781,956","2,870,556","3,042,056","3,248,530","3,289,151","3,249,677","3,316,472","3,346,956","3,467,465","3,615,069","3,700,617","3,726,429","3,859,240","3,922,071","4,076,022","4,060,590","4,177,962","4,195,567","4,347,431","4,419,873","4,472,498","4,417,303","4,264,864","4,113,233","4,317,742","4,168,074","4,066,543","4,125,461","4,168,646","4,320,466","4,358,034","4,342,064","4,435,866","4,367,378","3,998,608","4,313,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
