"Current-dollar Gross Domestic Product (GDP), million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"25,810.8","24,227.5","24,744.3","26,806.6","28,494.1","29,756.8","32,037.9","35,302.4","40,356.6","45,094.1","49,583.7","55,122.5","49,957.8","53,331.6","56,896.3","58,283.6","57,247.7","56,484.9","51,490.9","50,727.7","53,301.5","54,899.6","54,728.2","50,475.2","57,349.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"104,811.9","110,212.0","115,680.1","119,851.7","122,915.5","127,505.0","134,152.6","147,715.2","158,846.8","166,469.0","172,975.2","174,526.3","170,930.9","177,249.2","183,916.6","189,245.5","194,786.9","197,406.9","202,372.4","207,368.4","214,606.3","223,859.3","231,561.9","230,892.1","254,109.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"59,846.3","62,396.7","66,811.3","68,678.5","70,616.7","74,113.9","78,695.1","85,199.6","90,887.7","95,875.1","98,381.6","99,706.8","97,508.1","101,486.5","105,768.1","108,492.1","113,227.3","116,139.4","117,786.8","119,152.4","122,466.7","127,535.7","131,578.3","133,969.1","148,676.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"132,281.0","143,302.6","155,755.8","165,110.7","171,909.6","180,522.3","193,634.9","206,541.1","227,915.9","245,957.0","261,392.0","262,926.0","246,424.3","251,153.0","260,915.7","271,440.0","278,591.6","287,666.6","299,393.3","313,081.4","332,001.8","351,879.5","372,393.5","382,072.3","420,026.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,071,117.0","1,147,520.4","1,241,899.7","1,356,975.4","1,375,761.3","1,418,429.6","1,497,918.7","1,588,177.4","1,698,560.4","1,812,210.0","1,898,902.0","1,944,695.3","1,890,165.9","1,954,092.7","2,023,500.0","2,113,096.4","2,220,389.9","2,335,286.5","2,473,555.9","2,569,634.0","2,728,743.1","2,897,200.7","3,042,694.1","3,020,173.4","3,373,240.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"136,898.7","150,330.0","163,763.3","180,063.2","186,695.8","190,019.0","196,126.5","204,167.2","220,783.7","232,646.7","248,446.5","258,871.7","251,227.7","258,300.2","267,516.1","276,823.1","292,140.5","309,542.6","320,721.1","329,911.7","349,156.5","372,212.1","394,534.7","391,263.3","436,359.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"138,331.8","145,475.5","152,287.5","165,614.3","171,216.6","173,248.3","178,702.2","195,354.9","205,214.6","219,768.4","234,540.7","238,936.8","233,290.7","234,700.0","233,158.7","240,911.9","241,517.4","246,597.0","259,487.8","263,670.3","271,443.2","279,923.0","288,536.3","276,223.3","298,395.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"52,503.6","54,815.3","58,819.2","61,092.9","65,442.9","69,919.5","73,957.1","80,140.1","84,867.6","88,125.0","93,785.4","99,496.5","100,446.0","106,146.9","109,730.4","112,157.0","114,540.1","119,414.6","124,604.7","129,648.6","133,243.5","139,722.5","143,990.8","144,720.0","153,670.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"33,353.4","37,106.0","40,345.1","43,451.3","46,096.1","45,508.3","47,686.1","51,353.7","52,153.5","55,174.4","56,612.8","55,459.8","57,849.7","58,163.5","61,372.2","62,354.6","61,716.2","68,354.7","71,913.9","69,355.0","68,302.5","72,168.3","76,923.7","75,818.6","81,160.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"401,535.3","429,138.4","458,058.9","490,429.8","519,058.6","553,010.3","590,483.1","646,630.6","705,851.9","750,523.8","782,712.5","763,341.5","735,421.0","746,928.9","755,240.0","778,545.0","811,751.7","851,692.4","908,519.9","953,352.5","1,003,144.0","1,057,255.4","1,111,392.2","1,116,726.8","1,255,558.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
