"Total energy consumption per dollar of real Gross Domestic Product, Thousand Btu per chained (2012) dollar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79,17.60,17.87,18.83,17.96,17.05,17.32,17.59,17.47,15.17,13.98,12.69,11.37,11.71,11.59,10.82,10.79,11.01,11.20,10.94,11.08,11.33,11.33,12.62,13.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54,13.36,13.17,13.32,12.11,12.22,11.83,11.70,11.20,11.13,11.04,10.71,9.96,10.51,10.22,9.99,10.10,10.36,10.02,9.90,9.67,9.77,9.47,9.21,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85,12.79,12.35,12.70,12.21,12.03,11.35,10.73,10.54,10.26,10.49,10.42,10.11,10.69,10.48,9.91,9.99,10.04,9.46,9.35,9.29,9.64,9.37,8.83,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,6.78,6.47,6.39,6.29,6.05,5.79,5.75,5.50,5.44,5.29,5.22,5.36,5.51,5.54,5.32,5.34,5.31,5.28,5.23,5.04,4.89,4.78,4.60,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,5.32,4.96,4.65,4.68,4.62,4.38,4.44,4.23,4.12,4.05,3.92,3.89,3.76,3.71,3.52,3.47,3.31,3.21,3.17,3.08,3.00,2.89,2.64,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,5.90,5.60,5.48,5.83,5.82,5.77,5.81,5.71,5.64,5.56,5.49,5.53,5.66,5.44,5.22,5.15,4.99,4.80,4.60,4.47,4.45,4.37,4.10,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.03,4.12,3.91,3.80,3.76,4.08,3.89,3.67,3.30,3.26,3.01,3.13,3.15,3.12,3.02,3.17,3.19,3.12,2.98,2.95,3.04,2.92,2.83,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,2.30,2.26,2.32,2.19,2.17,2.09,2.07,2.02,1.87,1.90,1.72,1.76,1.73,1.64,1.54,1.56,1.56,1.53,1.46,1.38,1.41,1.34,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,5.41,5.28,5.41,5.00,5.46,5.30,4.81,5.05,4.75,4.86,4.97,4.22,4.40,4.54,4.54,4.66,4.33,4.26,4.46,4.64,4.89,4.65,4.45,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,6.56,6.37,6.34,6.15,6.06,5.81,5.65,5.42,5.32,5.20,5.23,5.35,5.57,5.40,5.22,5.19,5.10,5.07,4.94,4.76,4.71,4.52,4.21,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
