"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,211","41,096","40,591","39,407","40,959","42,979","42,355","44,055","45,657","49,190","51,721","51,252","56,215","54,602","55,280","58,284","55,354","54,188","54,741","54,247","54,279","53,327","53,434","50,705","50,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,501","149,568","154,900","157,221","156,853","160,422","165,135","176,625","184,370","187,271","189,003","186,947","180,707","184,702","187,606","189,246","191,370","189,886","191,335","194,284","196,975","200,373","203,433","199,881","209,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,571","84,571","89,115","89,872","89,789","92,951","96,945","101,734","105,980","108,461","107,606","106,537","102,997","105,662","107,933","108,492","110,752","111,735","112,351","112,798","113,850","115,885","117,126","117,268","123,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"168,409","183,061","198,700","208,440","213,166","220,697","234,066","244,317","262,326","274,179","283,251","280,810","257,499","260,307","266,102","271,440","273,482","276,949","282,577","291,275","303,606","314,828","325,395","327,178","347,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,378,277","1,468,731","1,574,306","1,696,172","1,692,324","1,722,522","1,789,999","1,850,905","1,926,842","2,002,437","2,041,192","2,061,639","1,995,440","2,036,015","2,063,828","2,113,096","2,179,229","2,256,055","2,357,453","2,427,895","2,538,204","2,644,061","2,729,226","2,667,221","2,874,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"184,185","200,680","215,295","231,590","234,979","235,417","237,782","240,748","251,558","257,430","266,888","270,981","264,966","267,859","271,701","276,823","286,259","298,655","312,410","318,953","329,913","342,733","358,439","353,345","373,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,519","196,391","202,352","216,158","218,135","216,678","219,186","233,427","238,550","248,234","257,953","257,756","244,895","244,355","238,542","240,912","236,051","235,781","242,707","243,287","247,036","249,075","251,568","235,235","246,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,828","81,214","84,756","85,356","88,441","91,142","92,921","97,464","99,481","99,806","102,739","106,769","105,894","109,987","111,647","112,157","112,332","114,554","116,808","119,644","120,759","123,681","124,597","122,485","126,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,980","50,434","54,237","56,550","58,373","56,535","57,300","60,070","59,335","60,624","60,478","58,656","61,518","60,577","62,919","62,355","60,236","64,940","66,794","63,001","60,358","61,425","64,144","62,282","64,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"559,805","587,971","615,238","642,708","660,660","689,974","722,375","769,141","815,756","839,964","850,049","816,070","769,061","775,040","772,021","778,545","794,842","817,234","852,242","881,539","912,687","941,627","965,673","950,164","1,029,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,119","352,472","377,127","389,727","394,317","399,413","411,686","428,555","447,153","453,032","455,904","445,765","428,741","433,727","441,627","447,765","454,909","470,010","489,182","506,816","523,805","538,605","557,364","537,616","575,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,804","54,405","54,852","55,891","55,679","56,991","59,979","63,318","67,124","68,759","70,080","70,461","67,928","69,628","70,647","71,905","73,063","73,512","75,870","77,304","78,947","79,845","79,213","70,109","74,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,290","114,087","116,523","121,924","120,450","123,298","128,962","139,978","144,577","146,555","152,862","149,881","146,183","150,148","152,435","158,538","158,481","166,619","171,127","170,389","170,888","173,548","173,722","170,957","179,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,997","38,795","42,510","47,295","46,085","47,057","48,594","51,815","56,043","57,614","58,671","60,310","57,328","58,282","58,226","58,324","60,631","62,454","63,081","65,479","66,941","70,857","74,163","75,146","80,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
