"Resident population including Armed Forces, thousand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,229,238,246,256,263,271,271,278,285,296,304,316,324,331,341,376,401,403,405,403,405,418,450,488,514,532,544,539,542,547,553,570,589,599,603,604,609,613,620,625,628,634,642,648,659,667,675,680,687,699,714,722,731,738,737,738,743,741,737,734,733,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"3,274","3,316","3,323","3,358","3,395","3,443","3,464","3,458","3,446","3,440","3,451","3,497","3,539","3,580","3,626","3,679","3,735","3,780","3,832","3,866","3,900","3,919","3,925","3,934","3,952","3,973","3,992","4,015","4,024","4,030","4,050","4,099","4,154","4,214","4,260","4,297","4,331","4,368","4,405","4,430","4,452","4,468","4,480","4,503","4,531","4,570","4,629","4,673","4,718","4,758","4,786","4,800","4,817","4,832","4,844","4,855","4,867","4,878","4,892","4,908","5,031","5,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"1,789","1,806","1,853","1,875","1,897","1,894","1,899","1,901","1,902","1,913","1,932","1,972","2,019","2,059","2,101","2,160","2,170","2,209","2,243","2,271","2,289","2,293","2,294","2,306","2,320","2,327","2,332","2,342","2,343","2,346","2,357","2,383","2,416","2,456","2,494","2,535","2,572","2,601","2,626","2,652","2,679","2,692","2,706","2,725","2,750","2,781","2,822","2,849","2,875","2,897","2,922","2,941","2,953","2,960","2,969","2,980","2,992","3,004","3,012","3,021","3,014","3,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"1,321","1,407","1,471","1,521","1,556","1,584","1,614","1,646","1,682","1,737","1,792","1,896","2,008","2,124","2,223","2,285","2,346","2,425","2,515","2,636","2,738","2,810","2,890","2,969","3,067","3,184","3,308","3,437","3,535","3,622","3,684","3,789","3,916","4,065","4,245","4,432","4,587","4,737","4,883","5,024","5,161","5,273","5,396","5,510","5,652","5,839","6,029","6,168","6,280","6,343","6,407","6,473","6,556","6,635","6,733","6,833","6,945","7,048","7,164","7,292","7,180","7,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"15,870","16,497","17,072","17,668","18,151","18,585","18,858","19,176","19,394","19,711","20,007","20,346","20,585","20,869","21,174","21,538","21,936","22,352","22,836","23,257","23,801","24,286","24,820","25,360","25,844","26,441","27,102","27,777","28,464","29,218","29,960","30,471","30,975","31,275","31,484","31,697","32,019","32,486","32,988","33,499","33,988","34,479","34,872","35,253","35,575","35,828","36,021","36,250","36,604","36,961","37,320","37,636","37,945","38,254","38,587","38,904","39,149","39,338","39,437","39,438","39,502","39,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"1,769","1,844","1,899","1,936","1,970","1,985","2,007","2,053","2,120","2,166","2,223","2,304","2,405","2,496","2,541","2,586","2,632","2,696","2,767","2,849","2,909","2,978","3,062","3,134","3,170","3,209","3,237","3,260","3,262","3,276","3,308","3,387","3,496","3,614","3,724","3,827","3,920","4,018","4,117","4,226","4,327","4,426","4,490","4,529","4,575","4,632","4,720","4,804","4,890","4,972","5,048","5,122","5,194","5,271","5,353","5,454","5,544","5,617","5,697","5,758","5,785","5,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"2,544","2,586","2,647","2,727","2,798","2,857","2,903","2,935","2,964","3,000","3,041","3,061","3,069","3,068","3,074","3,083","3,083","3,086","3,092","3,096","3,113","3,129","3,139","3,162","3,180","3,201","3,224","3,247","3,272","3,283","3,292","3,303","3,301","3,309","3,316","3,324","3,337","3,349","3,365","3,386","3,412","3,433","3,459","3,484","3,496","3,507","3,517","3,527","3,546","3,562","3,579","3,589","3,595","3,596","3,596","3,589","3,580","3,575","3,575","3,566","3,597","3,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,765,778,788,798,798,797,791,791,778,762,756,750,742,731,718,707,692,677,665,650,638,637,634,632,633,635,638,637,630,624,605,601,598,595,589,581,572,568,565,570,572,575,573,569,568,567,571,574,580,592,605,620,636,652,664,677,688,697,704,708,671,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,449,461,469,483,497,507,516,525,534,540,551,565,573,578,581,587,590,592,595,595,595,596,599,605,612,618,628,637,648,658,670,683,695,706,718,730,741,751,763,775,786,796,806,818,831,845,859,872,884,892,900,908,916,924,933,942,950,958,967,977,992,"1,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"5,004","5,243","5,458","5,628","5,781","5,954","6,104","6,242","6,433","6,641","6,848","7,158","7,511","7,914","8,299","8,518","8,667","8,856","9,102","9,426","9,840","10,193","10,471","10,750","11,040","11,351","11,668","11,997","12,306","12,638","13,033","13,370","13,651","13,927","14,239","14,538","14,853","15,186","15,487","15,759","16,048","16,357","16,689","17,004","17,415","17,842","18,167","18,368","18,527","18,653","18,846","19,056","19,302","19,552","19,854","20,219","20,627","20,977","21,255","21,492","21,590","21,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
