State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"15,583","13,638","10,605","12,375","17,446","18,269","19,607","18,876","15,930","13,481","14,286","13,126","15,912","17,148","16,702","17,831","18,931","22,760","23,819","26,254","24,447","24,996","23,608","25,527","24,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"300,020","317,349","290,232","263,303","252,841","253,609","284,732","293,280","279,983","266,931","229,491","237,856","274,392","266,139","279,972","265,964","336,863","293,890","284,365","259,513","285,081","301,170","298,545","308,209","303,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"124,045","114,927","110,822","108,634","94,022","108,652","107,933","112,971","112,738","100,633","121,766","126,307","130,887","138,624","135,133","125,377","132,370","131,625","129,264","127,831","121,635","124,834","132,189","118,123","114,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"143,511","128,115","116,145","102,228","92,536","88,046","84,201","82,473","92,285","95,745","97,679","111,984","96,257","100,835","129,110","114,315","119,753","139,836","149,031","162,028","172,736","179,533","174,570","177,618","197,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"767,346","838,169","764,472","741,658","615,198","684,544","768,593","768,889","819,440","897,576","707,404","680,290","725,594","836,280","953,565","818,490","897,358","903,692","911,138","1,116,287","1,314,777","1,213,958","1,373,488","1,244,897","1,334,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"38,515","31,402","32,395","31,999","30,471","27,044","28,794","29,099","35,558","42,229","50,616","77,341","78,297","82,338","107,753","108,351","122,946","131,177","133,682","158,875","162,034","165,952","178,021","194,190","216,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"51,004","49,471","49,593","50,913","29,919","28,612","32,973","42,965","29,171","35,689","36,171","36,453","41,664","43,526","43,360","38,975","42,952","45,472","46,764","47,868","46,758","49,572","48,862","46,777","51,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"1,378","1,222","1,259","1,354",866,881,926,943,263,619,741,563,619,"1,118","1,296","1,077","1,179","1,313","1,831","2,193","2,257","2,661","3,049","3,024","3,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"2,203","1,936","2,001","2,290","1,325","1,315","1,401","1,436","1,886","3,619","4,972","5,787","6,637","7,751","7,844","7,116","7,619","8,064","7,744","7,597","7,912","8,035","8,544","7,722","8,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"231,427","205,607","204,197","195,106","158,138","174,380","188,488","179,495","187,675","192,085","199,921","242,563","272,931","289,743","288,638","287,354","301,827","298,010","293,757","290,005","306,615","314,801","315,365","316,100","353,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"262,479","256,573","231,115","222,186","192,068","283,715","221,675","226,761","218,423","210,818","205,849","198,357","220,565","247,287","246,831","237,974","284,011","297,134","300,896","298,214","293,604","303,573","314,211","328,340","332,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"22,502","21,656","21,767","20,386","12,395","10,462","13,318","13,786","14,186","15,528","16,995","19,327","19,688","18,177","20,402","21,430","25,989","27,996","29,420","32,368","32,003","31,126","29,839","31,467","35,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"80,058","79,013","84,399","80,729","76,705","85,207","93,652","111,271","124,866","142,841","176,851","213,180","289,408","335,054","353,478","370,566","389,728","406,807","429,835","452,667","473,227","478,666","518,892","556,341","599,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"179,013","159,820","167,399","141,037","104,604","113,189","108,868","112,080","122,267","147,673","127,411","132,857","136,273","132,245","177,760","156,600","140,544","155,787","154,481","153,289","174,569","180,196","171,550","157,879","145,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"91,180","91,481","93,839","97,687","100,875","111,585","127,073","126,588","109,784","109,454","130,912","160,653","186,174","216,383","233,916","242,375","268,752","278,073","270,570","276,545","286,646","277,668","293,917","297,310","335,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"47,036","44,517","47,598","48,674","53,158","55,332","57,491","58,085","63,826","55,594","67,602","99,311","118,682","148,291","156,049","144,690","157,896","162,947","173,327","183,792","183,807","190,075","187,427","182,401","212,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"10,349","9,895","10,142","9,920","10,929","19,560","21,917","19,571","22,986","28,423","36,181","58,223","66,668","75,257","81,476","90,046","132,989","151,818","149,870","179,062","219,766","222,816","239,094","260,617","276,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"48,522","43,807","38,509","36,286","53,539","65,077","70,509","71,188","74,724","70,058","65,820","71,481","85,039","84,515","90,457","80,329","96,473","96,645","89,402","91,858","103,410","103,816","101,676","100,789","102,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"149,694","147,538","148,444","142,352","136,129","144,121","152,633","189,772","151,854","150,707","151,977","114,723","119,238","134,463","135,127","130,783","151,598","173,371","158,287","176,181","161,570","160,945","150,526","144,854","144,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"72,315","66,413","65,167","69,461","48,003","46,804","50,418","51,781","46,953","62,215","59,616","60,558","69,061","75,267","77,232","73,171","82,560","87,252","88,979","93,041","95,856","101,071","99,536","94,678","103,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"53,175","52,661","50,889","54,124","33,276","41,124","54,160","53,460","48,562","59,415","58,135","60,163","66,644","71,889","80,305","71,341","78,496","77,492","73,185","73,766","80,822","90,288","79,877","66,952","73,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"161,828","151,240","159,186","163,025","146,148","140,389","132,348","136,776","160,078","152,966","156,513","186,763","153,514","163,927","166,773","162,608","168,347","164,138","168,574","150,107","155,506","155,760","154,606","138,648","133,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"116,010","108,882","111,261","118,368","99,025","99,500","112,635","118,153","130,906","130,017","140,683","158,418","149,749","160,224","176,632","179,593","208,916","221,483","239,503","234,596","238,177","247,124","244,587","235,184","247,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"89,951","87,839","98,801","104,646","108,048","104,032","107,570","114,862","123,801","129,807","153,230","179,586","203,854","224,987","241,621","246,583","245,622","273,992","278,624","282,936","293,528","296,986","298,551","286,430","297,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"31,332","38,053","33,906","23,293","33,141","37,858","34,678","44,121","54,637","43,545","62,175","84,232","92,068","100,761","96,371","84,689","97,726","98,934","95,606","94,312","102,440","110,649","121,475","117,585","144,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"84,291","64,175","65,132","75,389","56,103","49,669","45,369","61,297","62,951","63,632","64,570","50,436","56,832","74,760","75,576","88,539","76,908","78,055","74,223","76,967","71,848","74,057","70,136","68,741","68,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"153,272","128,284","157,020","113,793","80,654","108,732","100,455","101,639","114,898","123,334","119,592","125,437","116,455","117,221","143,494","127,819","118,144","137,730","129,412","132,767","140,885","147,563","133,863","142,312","134,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"167,585","163,009","142,632","139,510","131,872","130,792","188,855","147,627","147,480","139,856","117,419","167,201","179,898","189,830","188,541","186,574","228,352","209,090","206,845","222,384","240,022","270,114","275,441","293,174","288,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"37,662","27,325","30,685","26,151","19,505","21,759","24,205","24,137","22,847","25,802","32,353","43,508","64,260","84,009","102,733","99,508","98,237","111,219","109,747","125,731","165,938","163,255","164,419","176,757","185,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
