"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
,,,,,,,,,
Year,State,State Census Code,Sector,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),Membership Rate,Coverage Rate
1983,Alabama,63,Priv. Construction,129,"68,036","14,833","15,579",21.80%,22.90%
1983,Alabama,63,Priv. Manufacturing,665,"348,767","90,308","100,214",25.90%,28.70%
1983,Alabama,63,Private,2075,"1,092,139","167,026","186,044",15.30%,17.00%
1983,Alabama,63,Public,492,"260,611","61,151","82,130",23.50%,31.50%
1983,Alabama,63,Total,2567,"1,352,750","228,177","268,173",16.90%,19.80%
1984,Alabama,63,Priv. Construction,116,"66,154","10,382","10,382",15.70%,15.70%
1984,Alabama,63,Priv. Manufacturing,641,"367,141","94,988","102,551",25.90%,27.90%
1984,Alabama,63,Private,1987,"1,134,760","155,364","171,258",13.70%,15.10%
1984,Alabama,63,Public,443,"251,963","52,270","76,588",20.70%,30.40%
1984,Alabama,63,Total,2430,"1,386,723","207,634","247,846",15.00%,17.90%
1985,Alabama,63,Priv. Construction,82,"61,695","12,937","14,688",21.00%,23.80%
1985,Alabama,63,Priv. Manufacturing,476,"359,881","90,790","95,193",25.20%,26.50%
1985,Alabama,63,Private,1527,"1,154,373","156,023","168,244",13.50%,14.60%
1985,Alabama,63,Public,371,"290,382","70,591","86,617",24.30%,29.80%
1985,Alabama,63,Total,1898,"1,444,755","226,614","254,861",15.70%,17.60%
1986,Alabama,63,Priv. Construction,81,"76,036","13,991","16,976",18.40%,22.30%
1986,Alabama,63,Priv. Manufacturing,426,"382,970","103,149","112,602",26.90%,29.40%
1986,Alabama,63,Private,1317,"1,192,763","157,251","175,814",13.20%,14.70%
1986,Alabama,63,Public,341,"308,744","78,310","96,309",25.40%,31.20%
1986,Alabama,63,Total,1658,"1,501,507","235,561","272,123",15.70%,18.10%
1987,Alabama,63,Priv. Construction,107,"80,161","5,243","5,915",6.50%,7.40%
1987,Alabama,63,Priv. Manufacturing,545,"392,356","101,385","103,588",25.80%,26.40%
1987,Alabama,63,Private,1753,"1,264,954","142,672","148,171",11.30%,11.70%
1987,Alabama,63,Public,391,"284,382","73,174","92,472",25.70%,32.50%
1987,Alabama,63,Total,2144,"1,549,335","215,846","240,643",13.90%,15.50%
1988,Alabama,63,Priv. Construction,115,"83,578","10,882","10,882",13.00%,13.00%
1988,Alabama,63,Priv. Manufacturing,489,"354,019","86,685","92,285",24.50%,26.10%
1988,Alabama,63,Private,1685,"1,234,548","144,065","157,338",11.70%,12.70%
1988,Alabama,63,Public,436,"320,318","76,478","92,102",23.90%,28.80%
1988,Alabama,63,Total,2121,"1,554,867","220,543","249,440",14.20%,16.00%
1989,Alabama,63,Priv. Construction,115,"86,773","7,656","8,306",8.80%,9.60%
1989,Alabama,63,Priv. Manufacturing,556,"414,318","94,190","98,003",22.70%,23.70%
1989,Alabama,63,Private,1766,"1,315,985","151,552","162,881",11.50%,12.40%
1989,Alabama,63,Public,382,"288,550","69,924","89,666",24.20%,31.10%
1989,Alabama,63,Total,2148,"1,604,535","221,476","252,547",13.80%,15.70%
1990,Alabama,63,Priv. Construction,116,"84,437","9,382","10,844",11.10%,12.80%
1990,Alabama,63,Priv. Manufacturing,558,"416,660","92,028","98,483",22.10%,23.60%
1990,Alabama,63,Private,1731,"1,294,782","135,055","146,491",10.40%,11.30%
1990,Alabama,63,Public,399,"290,524","58,827","82,533",20.20%,28.40%
1990,Alabama,63,Total,2130,"1,585,306","193,882","229,024",12.20%,14.40%
1991,Alabama,63,Priv. Construction,124,"91,188","10,919","12,352",12.00%,13.50%
1991,Alabama,63,Priv. Manufacturing,531,"390,622","93,646","103,138",24.00%,26.40%
1991,Alabama,63,Private,1774,"1,296,209","140,181","155,940",10.80%,12.00%
1991,Alabama,63,Public,431,"308,739","73,127","93,169",23.70%,30.20%
1991,Alabama,63,Total,2205,"1,604,948","213,307","249,110",13.30%,15.50%
1992,Alabama,63,Priv. Construction,112,"83,740","8,602","9,849",10.30%,11.80%
1992,Alabama,63,Priv. Manufacturing,562,"417,638","104,398","110,250",25.00%,26.40%
1992,Alabama,63,Private,1843,"1,346,548","159,553","172,583",11.80%,12.80%
1992,Alabama,63,Public,406,"285,807","65,453","91,624",22.90%,32.10%
1992,Alabama,63,Total,2249,"1,632,355","225,007","264,207",13.80%,16.20%
1993,Alabama,63,Priv. Construction,119,"88,777","17,750","17,750",20.00%,20.00%
1993,Alabama,63,Priv. Manufacturing,529,"396,239","97,390","105,681",24.60%,26.70%
1993,Alabama,63,Private,1823,"1,380,968","166,229","181,862",12.00%,13.20%
1993,Alabama,63,Public,381,"276,396","76,925","99,208",27.80%,35.90%
1993,Alabama,63,Total,2204,"1,657,364","243,154","281,070",14.70%,17.00%
1994,Alabama,63,Priv. Construction,109,"92,821","10,291","12,432",11.10%,13.40%
1994,Alabama,63,Priv. Manufacturing,512,"408,775","79,972","86,566",19.60%,21.20%
1994,Alabama,63,Private,1737,"1,399,473","137,135","157,070",9.80%,11.20%
1994,Alabama,63,Public,380,"299,118","98,981","112,960",33.10%,37.80%
1994,Alabama,63,Total,2117,"1,698,591","236,116","270,030",13.90%,15.90%
1995,Alabama,63,Priv. Construction,95,"79,560","7,931","7,931",10.00%,10.00%
