SAINC7N Wages and salaries by NAICS industry 1,,,,,,,,,,,,,,,,,,,,,,,,,,
SAINC7N Wages and salaries by NAICS industry 1,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1000,Alabama,50,Wages and salaries by place of work (thousands of dollars),52742568,55189942,57239267,58650321,60174752,62193093,65590374,69327833,73731431,77268164,79136690,76305703,77297084,78940301,81164516,82337068,85162009,88399367,90621984,94032369,98097145,102551968,105141675
1000,Alabama,81,  Farm wages and salaries,126807,117308,128507,168354,161977,134857,179046,159510,165981,186441,168864,170293,174999,149727,201107,146818,124683,170403,138262,140067,140902,105404,107239
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",480726,454425,408861,406050,411544,392296,402175,473020,487164,505485,555562,528030,577739,643001,655782,623126,609761,549314,377316,464321,532652,533532,489996
2000,Alaska,50,Wages and salaries by place of work (thousands of dollars),10328924,10482804,11077295,11733847,12324416,12794998,13460960,14256392,15122490,16103091,17037858,17532353,17998024,18772302,19588215,19949102,20515476,21225740,20517847,20397036,21050053,21846741,21551009
2000,Alaska,81,  Farm wages and salaries,6544,8639,5851,5830,5797,5058,5260,5092,4910,4901,10841,16080,15278,14554,16453,16433,16770,15682,16517,20322,18920,19024,20617
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",902844,782099,909861,(D),975801,874715,928012,1035652,1256469,1498432,1754947,1781538,1828142,1941601,2126100,2223206,2417430,2402956,1930205,1743022,1833370,1949075,1810419
4000,Arizona,50,Wages and salaries by place of work (thousands of dollars),64289238,69372454,76583262,79484246,81176503,84999480,92155482,101118705,111468721,117288565,117222286,109643699,109156749,113495712,118946570,122596891,127740598,134093382,139368770,147731283,157183301,167959440,176694560
4000,Arizona,81,  Farm wages and salaries,292826,285860,325355,329847,376491,324690,343081,386620,365410,417036,383146,433236,380472,381998,443000,494158,477383,401841,460555,464713,463179,335882,495979
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",573083,543443,464154,452999,410930,402458,446654,489315,589619,727661,915885,722425,735208,858595,964065,996061,974293,956043,872715,943899,1121781,1136399,1072770
5000,Arkansas,50,Wages and salaries by place of work (thousands of dollars),28569246,30163014,31830512,32970649,33873186,35118420,37223840,39076385,41362632,43531039,44463338,44017270,44757352,46288979,47879873,48798973,50467231,52441271,53945592,56029138,57865321,60232551,62083743
5000,Arkansas,81,  Farm wages and salaries,237955,242217,240063,259281,254499,258307,280157,231483,224275,235402,258738,220723,238418,208301,264245,287053,244049,284760,298331,241234,251022,300974,255690
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",121890,117582,121805,148792,140128,147267,166468,191248,259792,375267,507600,525280,549692,607894,586159,521009,481621,415768,275411,249984,257898,253220,237851
6000,California,50,Wages and salaries by place of work (thousands of dollars),517592617,565624705,638455163,648050300,645996513,666057806,705728279,742516778,791450009,834657501,843122831,798914095,813699083,847516542,903207287,933893533,992025352,1067705274,1117915535,1190747913,1260482440,1334844914,1377870887
6000,California,81,  Farm wages and salaries,3819683,4296718,4396392,4382525,4091908,4044991,4414470,4811887,4672786,4313071,4645124,5036104,5119135,4246626,4946531,5499239,5136745,5133086,5005458,6433136,5288170,6751721,7159319
6000,California,200,"      Mining, quarrying, and oil and gas extraction",1499990,1410460,1478103,1686887,1542361,1579293,1878559,1971917,2337263,2677075,3098609,2738470,3196009,3405436,3794119,3788128,3969943,3615648,2987608,2435303,2536254,2554091,2092149
8000,Colorado,50,Wages and salaries by place of work (thousands of dollars),69857397,76636393,86411500,89129887,88062045,89251590,93549587,98773562,105648320,112524873,116709488,112227235,113670326,118414655,124946815,129521070,138626292,146578312,151168319,160939716,170789926,182961684,187833874
8000,Colorado,81,  Farm wages and salaries,299842,295882,340392,348791,402358,344476,361219,403814,378466,428144,393351,444775,390605,392171,454360,506831,489627,412147,472366,502435,500777,363146,536239
8000,Colorado,200,"      Mining, quarrying, and oil and gas extraction",762917,805462,772661,975313,838435,875327,1201370,1409410,1738170,2181650,2779741,2182793,2410362,2921033,3154443,3330128,3831876,3518394,2718460,3040794,3449865,3623117,3032663
9000,Connecticut,50,Wages and salaries by place of work (thousands of dollars),68510384,72496956,78195987,80744831,79812624,81418081,85974421,89732543,94440650,100686085,101542786,96172920,97780820,101498258,104235119,105454035,108999885,112384762,113353303,114782104,116962154,120274578,120129770
9000,Connecticut,81,  Farm wages and salaries,104763,97060,114580,119985,152944,135980,130777,104159,115245,132390,121605,117629,112296,97644,146085,148905,157911,128285,145715,121237,114073,91739,98128
9000,Connecticut,200,"      Mining, quarrying, and oil and gas extraction",34810,39464,38192,36665,37557,39375,39504,40550,45241,43627,47260,40550,38819,37307,35735,35169,38425,39446,39948,41252,39537,40264,(D)
10000,Delaware,50,Wages and salaries by place of work (thousands of dollars),13830613,14764643,15656198,16379849,16736691,17343459,18392624,19544020,20477277,20986858,21109553,20180533,20427140,21329554,22034682,22596579,23621731,24490985,24678696,25820270,26617391,27747056,27924986
10000,Delaware,81,  Farm wages and salaries,30617,27252,30898,31065,38006,34026,32960,26447,29489,34146,31365,30339,28964,25184,41510,42311,44869,36451,41404,38638,36355,29237,31273
10000,Delaware,200,"      Mining, quarrying, and oil and gas extraction",(T),(T),(T),(D),3244,(D),3157,(D),593,276,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4122
11000,District of Columbia,50,Wages and salaries by place of work (thousands of dollars),30716053,33322139,35400343,37606349,39512530,41348015,44272112,46639255,49271090,52012624,54373430,55103357,57867925,59785905,61160673,62192439,64686740,67678508,70085789,72987864,76569049,78678687,80153113
11000,District of Columbia,81,  Farm wages and salaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,District of Columbia,200,"      Mining, quarrying, and oil and gas extraction",7855,9742,(T),(D),(D),6984,3757,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,Florida,50,Wages and salaries by place of work (thousands of dollars),199099985,212076660,231180254,242318487,250891679,264522119,285401467,309872613,332427245,343026888,339021386,320654740,322574282,332059525,346080832,358216341,378847091,404274826,424791463,447323235,473082121,499760015,511909275
12000,Florida,81,  Farm wages and salaries,814604,752788,823798,1078148,1036264,901546,1080570,1028633,1178053,1094681,1211124,1174607,1188460,1029401,1015974,1232369,1131772,972858,1125932,985039,1102037,1240207,1515280
12000,Florida,200,"      Mining, quarrying, and oil and gas extraction",273661,261969,271020,281474,253473,250372,258885,268938,253541,276973,258149,209119,216765,235794,268822,254183,271891,275431,284528,292841,305459,298482,291209
13000,Georgia,50,Wages and salaries by place of work (thousands of dollars),121166254,130922882,141824901,145820293,146636066,150830629,158370136,167394615,177139861,186679631,188024383,178947092,181000754,187605059,195340698,200732838,212148432,224266620,235030059,246806915,257941965,270741525,274942083
13000,Georgia,81,  Farm wages and salaries,263105,235277,248999,314962,292394,267309,307156,359898,293443,383042,402643,306119,306877,272380,423433,315126,383012,361001,363485,396491,320423,324001,352117
13000,Georgia,200,"      Mining, quarrying, and oil and gas extraction",363906,369889,376211,366219,360511,369049,380004,384979,397955,417787,330190,276348,282126,283624,284696,297203,306807,317371,352074,367269,375344,383369,379098
