"","DV","Trimmed","Observations","term","estimate","std.error","statistic","p.value","Model_Formula","Data_Used"
"1","Score",FALSE,1150,"Ideology",0.0123754438479707,0.0439020700769363,0.281887478797317,0.778029790850037,"Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"2","Score",FALSE,1150,"Polarization",0.217806726617254,0.0737099310866679,2.95491697531447,0.0031275320312317,"Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"3","Score",FALSE,1150,"IdeologyLag1",0.0277339949029927,0.0471920561838402,0.587683545615238,0.556744722028959,"Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"4","Score",FALSE,1150,"PolarizationLag1",0.163605766837556,0.0803727441970567,2.03558766683927,0.0417917772673053,"Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"5","Score",FALSE,1150,"IdeologyLag2",0.0398360367342519,0.0433813503684542,0.918275627565978,0.35847458372078,"Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"6","Score",FALSE,1150,"PolarizationLag2",0.120809012032574,0.0878119831044384,1.37576908938375,0.16889313417939,"Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"7","CI_Score",FALSE,1150,"Ideology",-0.0426664946408824,0.0635028862994063,-0.671882761985281,0.501658335249832,"CI_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"8","CI_Score",FALSE,1150,"Polarization",0.11958689913959,0.166013331343571,0.720345156450722,0.471312508269876,"CI_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"9","CI_Score",FALSE,1150,"IdeologyLag1",-0.0178240930414085,0.0828156385414646,-0.215226174129953,0.829590985072665,"CI_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"10","CI_Score",FALSE,1150,"PolarizationLag1",0.0813560655651415,0.149342657530698,0.544761067670288,0.585917858296525,"CI_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"11","CI_Score",FALSE,1150,"IdeologyLag2",-0.0103406690226385,0.0926199197363634,-0.111646274927387,0.911103879277502,"CI_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"12","CI_Score",FALSE,1150,"PolarizationLag2",0.0615376886572322,0.136644144588346,0.450349986401692,0.652458101383843,"CI_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"13","EE_Score",FALSE,1150,"Ideology",-0.0102234485748365,0.0711956115787958,-0.143596611478246,0.885819016574299,"EE_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"14","EE_Score",FALSE,1150,"Polarization",0.0565125796512456,0.229763268984996,0.245960026164739,0.805713176550105,"EE_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1150 x 51"
"15","EE_Score",FALSE,1150,"IdeologyLag1",0.0140853119428769,0.0776715250792559,0.181344603810782,0.856097097592382,"EE_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"16","EE_Score",FALSE,1150,"PolarizationLag1",-0.0101257259280968,0.235601297719944,-0.0429782264617792,0.965718890579424,"EE_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"17","EE_Score",FALSE,1150,"IdeologyLag2",0.0452532874941567,0.0937901368773764,0.482495164212437,0.62945423284009,"EE_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"18","EE_Score",FALSE,1150,"PolarizationLag2",-0.0566176262329061,0.208192394486154,-0.271948580891467,0.785661556209067,"EE_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1150 x 51"
"19","Score",TRUE,1091,"Ideology",0.0639249199703312,0.0230531272882251,2.77293918395975,0.00555525016285378,"Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1091 x 6"
"20","Score",TRUE,1091,"Polarization",0.11500491569723,0.05029186295499,2.28674996192042,0.0222104216603437,"Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1091 x 6"
