"","State","Year","Chamber","CI","EI","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","CI_Lag1","EI_Lag1"
"AK-1998","AK","1998",10.71,58.4,17.6,1.01885769753016,1.60070989455287,0.000633560669049361,0.087409298393521,620,29287,1.027,NA,NA
"AK-1999","AK","1999",10.697,59.09,17.87,1.01462091100477,1.58292972449819,0.000824111564043361,0.0746078053162112,625,29941,1.108,58.4,17.6
"AK-2000","AK","2000",10.697,58.73,18.83,1.01667652659283,1.59021023878091,0.00052819754281167,0.0821374712869884,628,31996,1.118,59.09,17.87
"AK-2001","AK","2001",10.668,57.84,17.96,1.02371201978947,1.56140238805564,0.000496853248555227,NA,634,33591,1.095,58.73,18.83
"AK-2002","AK","2002",10.668,58.3,17.05,1.02492669622013,1.57416132152832,0.000470367115163915,0.0791762465661659,642,34766,1.079,57.84,17.96
"AK-2003","AK","2003",10.655,58.5,17.32,1.02673179989393,1.56701764623278,0.000395310730021216,0.0683638246758616,648,36045,1.063,58.3,17.05
"AK-2004","AK","2004",10.655,59.6,17.59,1.02435553192889,1.52636645037089,0.000390759648643187,0.068940996778833,659,37054,1.082,58.5,17.32
"AK-2005","AK","2005",10.5525,59.5,17.47,1.01996933772751,1.54493100988689,0.000357173119257663,0.072644747703346,667,39013,1.077,59.6,17.59
"AK-2006","AK","2006",10.5525,60.9,15.17,1.01805998202174,1.50333642795231,0.000324681980282348,0.0830861187542528,675,41013,1.053,59.5,17.47
"AK-2007","AK","2007",10.5045,60.4,13.98,1.0197531342165,1.51461850843511,0.000304351506179776,0.0930524456453733,680,43747,1.142,60.9,15.17
"AK-2008","AK","2008",10.493,60.1,12.69,1.02017832436587,1.52872867025365,0.00063628890439162,0.103002795304433,687,47800,1.12,60.4,13.98
"AK-2009","AK","2009",NA,58.3,11.37,1.02489065755636,1.53806337168922,0.000917161546998284,0.101614312693795,699,47211,1.069,60.1,12.69
"AK-2010","AK","2010",NA,58.1,11.71,1.02683009639621,1.52411313451191,0.00084887096494593,0.101574595077771,714,49543,1.028,58.3,11.37
"AK-2011","AK","2011",10.1765,57.9,11.59,1.02606209838746,1.53025962231647,0.000775291171002896,0.103429030707049,722,52415,1.115,58.1,11.71
"AK-2012","AK","2012",10.1765,57.3,10.82,1.02827413751274,1.5505901082539,0.000839943813155002,0.108539752090734,731,53340,1.051,57.9,11.59
"AK-2013","AK","2013",10.512,57,10.79,1.03170235854428,1.55703276239726,0.000823746352091437,0.111443913615761,738,52252,1.155,57.3,10.82
"AK-2014","AK","2014",10.512,56.9,11.01,1.0381648028627,1.55213872134496,0.000817431679381946,0.117834458240209,737,55098,1.183,57,10.79
"AK-2015","AK","2015",10.4255,57.1,11.2,1.03884972582229,1.54466274999755,0.000738819942202251,0.113209527677245,738,56714,1.037,56.9,11.01
"AK-2016","AK","2016",10.4165,56.3,10.94,1.04422940529358,1.55742966069001,0.000805006490203382,0.0940744416312296,743,55535,1.013,57.1,11.2
"AK-2017","AK","2017",10.316,56.1,11.08,1.04066516073442,1.57204189108717,0.00099632123020227,0.0854546709629772,741,56499,1,56.3,10.94
"AK-2018","AK","2018",10.2785,57.1,11.33,1.04137102340154,1.57308864249881,0.000898810088506666,0.0870957427043058,737,58997,1.087,56.1,11.08
"AK-2019","AK","2019",10.4225,56.6,11.33,1.03899377302083,1.56717374428092,0.000870793497300124,0.0892158239986458,734,60569,1.069,57.1,11.33
"AK-2020","AK","2020",10.4225,56.2,12.62,1.03988942782493,1.58374951558261,0.000956660544292845,0.0840062291282974,733,61898,1.122,56.6,11.33
"AL-1998","AL","1998",10.011,57.2,13.36,1.15885750384443,1.17118370362658,0.00240426290961032,0.00911457326082416,4405,22651,1.138,NA,NA
"AL-1999","AL","1999",10.0765,57.43,13.17,1.14222548044811,1.17106143296709,0.00212553222107028,0.0082338372451995,4430,23296,1.165,57.2,13.36
"AL-2000","AL","2000",10.0355,58.73,13.32,1.12574632674952,1.17597217088316,0.00224508465491006,0.00714301599983801,4452,24258,1.144,57.43,13.17
"AL-2001","AL","2001",10.0355,58.19,12.11,1.13315431335798,1.18116372112276,0.00287047022300185,0.00692323576541039,4468,25046,1.158,58.73,13.32
"AL-2002","AL","2002",10.0355,58,12.22,1.12938231320836,1.19894630620482,0.00269177677707754,0.00683914742182901,4480,25671,1.141,58.19,12.11
"AL-2003","AL","2003",9.9785,58,11.83,1.1458114516979,1.18460359054273,0.00216835975660513,0.00630771008607017,4503,26700,1.136,58,12.22
"AL-2004","AL","2004",9.995,57.3,11.7,1.14196371522063,1.18971431060855,0.00272976031513405,0.00613161620331666,4531,28385,1.119,58,11.83
"AL-2005","AL","2005",9.996,58.1,11.2,1.13554744158035,1.17593092857572,0.00230080752704329,0.00682294512219933,4570,29780,1.121,57.3,11.7
"AL-2006","AL","2006",9.996,58.3,11.13,1.12810691581824,1.19295105050829,0.00225115663359362,0.0066072771597231,4629,31264,1.087,58.1,11.2
"AL-2007","AL","2007",9.9685,58.7,11.04,1.11001000914629,1.20643816284229,0.00241290837452796,0.00654195691772876,4673,32516,1.085,58.3,11.13
"AL-2008","AL","2008",9.9505,56.4,10.71,1.11875106091923,1.20682183546516,0.00213382692654949,0.00702028351198414,4718,33441,1.1,58.7,11.04
"AL-2009","AL","2009",10.0855,52,9.96,1.15247083299067,1.25909239423972,0.00223172047835009,0.0069199283833346,4758,32717,1.137,56.4,10.71
"AL-2010","AL","2010",10.026,54.1,10.51,1.13705019133234,1.2803452684961,0.00226397932423945,0.00747426642898974,4786,33849,1.13,52,9.96
"AL-2011","AL","2011",10.868,52.4,10.22,1.1460614249717,1.31786562048403,0.00189671179490435,0.00814540851573393,4800,34887,1.136,54.1,10.51
"AL-2012","AL","2012",10.8745,50.4,9.99,1.14064162413356,1.35819818981363,0.00247776996538734,0.00807966377819588,4817,35564,1.095,52.4,10.22
"AL-2013","AL","2013",10.883,49.2,10.1,1.17435792590139,1.32394540429188,0.00178313369137701,0.00756798869738718,4832,35713,1.138,50.4,9.99
"AL-2014","AL","2014",10.879,50.2,10.36,1.14940593993972,1.33073266305959,0.00146406832652339,0.00716001192503573,4844,36729,1.12,49.2,10.1
"AL-2015","AL","2015",10.9125,49,10.02,1.1483428058708,1.36598963454872,0.00192764954979825,0.00621400377222158,4855,38197,1.077,50.2,10.36
"AL-2016","AL","2016",10.9125,48.7,9.9,1.13495026330884,1.37182681262406,0.00152570043048274,0.0041636254620071,4867,38712,1.066,49,10.02
"AL-2017","AL","2017",10.9125,46.8,9.67,1.14973488698228,1.357795163099,0.00148956153598555,0.00493788474051951,4878,39975,1.056,48.7,9.9
"AL-2018","AL","2018",10.9135,47.2,9.77,1.15385982954188,1.39398272531701,0.00143635168994979,0.00542984202037684,4892,41330,1.072,46.8,9.67
"AL-2019","AL","2019",10.8885,45.2,9.47,1.15492381076924,1.38853861146917,0.00102781060232798,0.00520255252439427,4908,43004,1.093,47.2,9.77
"AL-2020","AL","2020",10.8885,43.5,9.21,1.16737681165717,1.38821977530238,0.00101994760878595,0.0046603404406483,5031,45887,1.072,45.2,9.47
"AR-1998","AR","1998",9.981,55,12.79,1.1062372203262,1.25225458404357,0.00832906125698942,0.00426647591609523,2626,21203,1.093,NA,NA
"AR-1999","AR","1999",9.9735,55.95,12.35,1.10067295778026,1.2340690326777,0.00803026514525372,0.00389821786377184,2652,21842,1.102,55,12.79
"AR-2000","AR","2000",9.9735,56.99,12.7,1.09516000886481,1.22434790682844,0.00754191450015004,0.00382667423005951,2679,22731,1.047,55.95,12.35
"AR-2001","AR","2001",10.052,56.44,12.21,1.08578211332268,1.21129394848438,0.00786399442728592,0.00451286233401108,2692,23841,1.091,56.99,12.7
"AR-2002","AR","2002",10.052,54.6,12.03,1.09715245277485,1.22166178156346,0.00751328794403928,0.00413684145329583,2706,24280,1.092,56.44,12.21
"AR-2003","AR","2003",10.0575,55.2,11.35,1.09806349737063,1.23129277041441,0.00735531382106598,0.00419344036548341,2725,25564,1.087,54.6,12.03
"AR-2004","AR","2004",10.0575,55.6,10.73,1.10347253198168,1.19959846015331,0.00752627885785024,0.0044720802582431,2750,27024,1.084,55.2,11.35
"AR-2005","AR","2005",10.142,55.9,10.54,1.10097311724428,1.19399649803182,0.00592385912872954,0.00489420912400162,2781,28043,1.089,55.6,10.73
"AR-2006","AR","2006",10.142,55.6,10.26,1.09040648916511,1.21640582256852,0.00542216462434015,0.00628083822132015,2822,29376,1.085,55.9,10.54
"AR-2007","AR","2007",10.0915,55.2,10.49,1.10785459125602,1.20337773022269,0.00540768163149058,0.0086206763867961,2849,31036,1.076,55.6,10.26
"AR-2008","AR","2008",10.0915,56,10.42,1.11376856630728,1.21475576692698,0.00581913125820648,0.0114161469388556,2875,32157,1.087,55.2,10.49
"AR-2009","AR","2009",10.0865,54.1,10.11,1.12570602613293,1.23827931791225,0.00501446364120265,0.0119334979202481,2897,31411,1.071,56,10.42
"AR-2010","AR","2010",10.092,54.8,10.69,1.12278335147602,1.24337540843197,0.00532690137700729,0.0122816023611048,2922,32218,1.06,54.1,10.11
"AR-2011","AR","2011",10.253,55.5,10.48,1.11947993386442,1.25544071228371,0.00450001284322992,0.0131325860525029,2941,34180,1.062,54.8,10.69
"AR-2012","AR","2012",10.253,54.9,9.91,1.11657381201209,1.27946771596145,0.0055189160589461,0.0122422839342118,2953,36287,1.029,55.5,10.48
"AR-2013","AR","2013",10.7145,57.4,9.99,1.11961151783826,1.26028178330228,0.00588235740125105,0.0106766386251612,2960,36285,1.051,54.9,9.91
"AR-2014","AR","2014",10.7375,56.5,10.04,1.11733793324775,1.24337558836115,0.00483579136727355,0.00954324202966475,2969,38218,1.035,57.4,9.99
"AR-2015","AR","2015",10.9715,53.1,9.46,1.12166424305742,1.27937484999506,0.00543007433973139,0.00792825940469673,2980,39266,1.049,56.5,10.04
"AR-2016","AR","2016",10.9715,53.9,9.35,1.12126234028889,1.29939886299066,0.00553022015218593,0.00510534762506638,2992,40179,1.049,53.1,9.46
"AR-2017","AR","2017",11.029,55.3,9.29,1.11500920470759,1.30023326156782,0.00430550975101562,0.00446167849307266,3004,41402,1.076,53.9,9.35
"AR-2018","AR","2018",11.032,56.4,9.64,1.11169878175905,1.32832913533078,0.00433803866740841,0.00445686631549145,3012,43029,1.061,55.3,9.29
"AR-2019","AR","2019",11.0285,53.5,9.37,1.12048057704244,1.33849291958209,0.00499686622935828,0.00420403910835522,3021,43751,1.055,56.4,9.64
"AR-2020","AR","2020",11.0285,50.3,8.83,1.11409157422477,1.32399271733304,0.00411846946792496,0.00383113176665266,3014,47147,1.056,53.5,9.37
"AZ-1998","AZ","1998",10.2885,52.5,6.78,1.10323720745832,1.12980579011537,0.00455482144616491,0.00891413583094576,4883,24130,1.042,NA,NA
"AZ-1999","AZ","1999",10.243,53.76,6.47,1.09038500299221,1.13056000647469,0.00412065572885745,0.00783370010234898,5024,24866,1.031,52.5,6.78
"AZ-2000","AZ","2000",10.243,55.44,6.39,1.0767222888501,1.15620717449615,0.00424838262961429,0.00606077604790457,5161,26271,1.052,53.76,6.47
"AZ-2001","AZ","2001",9.9235,56.41,6.29,1.06896793307123,1.1821714583838,0.0041498412150755,0.00569923000842205,5273,26946,1.035,55.44,6.39
"AZ-2002","AZ","2002",10.0265,55.2,6.05,1.06598656076361,1.19129627325748,0.00463793075688417,0.00506217913821688,5396,27325,1.016,56.41,6.29
"AZ-2003","AZ","2003",10.3025,56.5,5.79,1.06216252131736,1.20350232183857,0.00381990572177618,0.0047348289660125,5510,28384,1.011,55.2,6.05
"AZ-2004","AZ","2004",10.3455,56.7,5.75,1.05872564224162,1.25368098902147,0.0037228496075795,0.00484674368042478,5652,30154,1.04,56.5,5.79
"AZ-2005","AZ","2005",10.5775,57.5,5.5,1.06394466190087,1.22817473103192,0.00382342712953058,0.00483901568953044,5839,32150,1.034,56.7,5.75
"AZ-2006","AZ","2006",10.5835,58.2,5.44,1.06417909147154,1.24481831508854,0.00327813934457901,0.00528954665228464,6029,34460,1.038,57.5,5.5
"AZ-2007","AZ","2007",10.425,57.2,5.29,1.06519939819432,1.26832416874589,0.00355564073957252,0.00620402338454733,6168,35602,1.071,58.2,5.44
"AZ-2008","AZ","2008",10.485,56.1,5.22,1.07641100803249,1.27973563472503,0.00326854229749452,0.00781323271583357,6280,35586,1.043,57.2,5.29
"AZ-2009","AZ","2009",10.6115,55.1,5.36,1.06979044089125,1.27370654184331,0.00395130777191309,0.00658884191785613,6343,33467,1.034,56.1,5.22
"AZ-2010","AZ","2010",10.622,56.2,5.51,1.07030503747603,1.23441380512463,0.0034855563534601,0.00673534166907078,6407,33774,1.02,55.1,5.36
"AZ-2011","AZ","2011",10.836,55.4,5.54,1.08750930265029,1.19868292094408,0.00336574830245569,0.00756499946006771,6473,35244,1.029,56.2,5.51
"AZ-2012","AZ","2012",10.7865,54.6,5.32,1.07923333268643,1.23499546703411,0.00372436128254896,0.00810502564302611,6556,36333,1.051,55.4,5.54
"AZ-2013","AZ","2013",10.707,55.6,5.34,1.08197459706816,1.23299711470338,0.00403075474401712,0.0081246840101353,6635,36877,1.032,54.6,5.32
"AZ-2014","AZ","2014",10.695,54.5,5.31,1.09500819047839,1.21464149076898,0.0037371282699021,0.00762712101911406,6733,38220,1.044,55.6,5.34
"AZ-2015","AZ","2015",10.8045,52.8,5.28,1.09987889689616,1.24482865619787,0.00299672507327767,0.00712968071757635,6833,39836,1.04,54.5,5.31
"AZ-2016","AZ","2016",10.7725,51.2,5.23,1.10645645369419,1.24567217604066,0.0033045782064375,0.00626191219166245,6945,41122,1.022,52.8,5.28
"AZ-2017","AZ","2017",10.8305,51.3,5.04,1.11299210332142,1.21889145599263,0.00314566414481082,0.00638929670704884,7048,43208,1.013,51.2,5.23
"AZ-2018","AZ","2018",10.8305,51.5,4.89,1.11658115706472,1.26008793603566,0.00294674432368614,0.0071367695732513,7164,45260,1.016,51.3,5.04
"AZ-2019","AZ","2019",10.791,49.8,4.78,1.1123004972692,1.31151631724874,0.00199978042317836,0.00676591324667432,7292,47693,1.029,51.5,4.89
"AZ-2020","AZ","2020",10.7755,46.6,4.6,1.11795645218167,1.34104222824784,0.00280698511601036,0.00607132443692664,7180,52133,1.01,49.8,4.78
"CA-1998","CA","1998",9.174,51.8,5.32,1.10737063518446,1.30983735603803,0.00737970920477793,0.00289801274348548,32988,28901,1.092,NA,NA
"CA-1999","CA","1999",9.012,52.4,4.96,1.09798669382965,1.30500138814227,0.00759641147569748,0.00249363223977284,33499,30529,1.085,51.8,5.32
"CA-2000","CA","2000",9.012,52.96,4.65,1.09396209022442,1.31121089368241,0.00688598394183555,0.00231512420238663,33988,33175,1.074,52.4,4.96
"CA-2001","CA","2001",8.868,54,4.68,1.07769157279852,1.31746758999377,0.0067626309254081,0.00260301862370868,34479,33915,1.086,52.96,4.65
"CA-2002","CA","2002",8.868,53.8,4.62,1.08596385279665,1.29117281441377,0.00633425710147757,0.0023875686152504,34872,34047,1.1,54,4.68
"CA-2003","CA","2003",8.8115,53.1,4.38,1.09793054538356,1.29522926353419,0.00607303294633259,0.00237110500886465,35253,35191,1.076,53.8,4.62
"CA-2004","CA","2004",8.8115,53.9,4.44,1.09357758214657,1.29966759949439,0.00625519783089208,0.00266187292744153,35575,36969,1.068,53.1,4.38
"CA-2005","CA","2005",8.8075,53.2,4.23,1.10052661647778,1.28270510127433,0.00648050945456212,0.00265572046103987,35828,38737,1.084,53.9,4.44
"CA-2006","CA","2006",8.8075,53.3,4.12,1.10884161702515,1.28810925681718,0.0059040823133025,0.00295314040485405,36021,41454,1.063,53.2,4.23
"CA-2007","CA","2007",8.768,54.2,4.05,1.08563799400005,1.29871983181442,0.0051674740774899,0.00320739344796232,36250,43070,1.088,53.3,4.12
