"State","Year","Ideology","CarbonIntensity","EnergyIntensity","Population","PercentUrban","EmissionsPerCapita","GDPPerCapita","PropManuEmployment","PropFarmEmployment","GHI","Speed120m"
"AK","1998",0.71,58.4,17.6,620,66,0.0680645161290323,39.0766129032258,0.0398334755054086,0.00221893104043793,NA,NA
"AK","1999",0.697,59.09,17.87,625,66,0.068576,39.59088,0.0362935902042186,0.0023524351769047,NA,NA
"AK","2000",0.697,58.73,18.83,628,66,0.0694267515923567,42.6856687898089,0.0353086977271678,0.00201676014922999,NA,NA
"AK","2001",0.668,57.84,17.96,634,66,0.0671135646687697,44.9433753943218,0.0363083395638234,0.00196418841002116,NA,NA
"AK","2002",0.668,58.3,17.05,642,66,0.0665109034267913,46.3501557632399,0.03249940327008,0.00184986275211839,NA,NA
"AK","2003",0.655,58.5,17.32,648,66,0.0662037037037037,49.4412037037037,0.0327617873651772,0.00180462249614792,NA,NA
"AK","2004",0.655,59.6,17.59,659,66,0.0701062215477997,53.5696509863429,0.0338754533439325,0.00176142692494485,NA,NA
"AK","2005",0.5525,59.5,17.47,667,66,0.0712143928035982,60.5046476761619,0.0342151097949324,0.00177019709459876,NA,NA
"AK","2006",0.5525,60.9,15.17,675,66,0.0672592592592593,66.8060740740741,0.0350203212920308,0.00172261494339483,NA,NA
"AK","2007",0.5045,60.4,13.98,680,66,0.064264705882353,72.9172058823529,0.0350237811587745,0.00175516774129009,NA,NA
"AK","2008",0.493,60.1,12.69,687,66,0.0569141193595342,80.2365356622999,0.0339561138137339,0.00210323668513668,NA,NA
"AK","2009",NA,58.3,11.37,699,66,0.0533619456366237,71.4703862660944,0.0346685348188156,0.0024700285872476,NA,NA
"AK","2010",NA,58.1,11.71,714,66,0.0519607843137255,74.6941176470588,0.0337815921070415,0.00254764157318557,NA,NA
"AK","2011",0.1765,57.9,11.59,722,64.9,0.0513850415512465,78.8037396121884,0.035799920074597,0.00273744505128547,NA,NA
"AK","2012",0.1765,57.3,10.82,731,64.9,0.0495212038303694,79.7313269493844,0.0359365270139043,0.00232101410462417,NA,NA
"AK","2013",0.512,57,10.79,738,64.9,0.046070460704607,77.5714092140921,0.0370616103468089,0.00241541180169339,NA,NA
"AK","2014",0.512,56.9,11.01,737,64.9,0.0459972862957938,76.6416553595658,0.036703650641241,0.00267680456725715,NA,NA
