"State","Year","Ideology","CarbonIntensity","EnergyIntensity","RealGDP","Population","PercentUrban","GDPPerCapita","FarmProportion","PopDens","Weighted_GHI","Weighted_Speed120m"
"AK","1998",0.71,58.4,17.6,24227.5,620,66,39.0766129032258,0.000633560669049361,0.00109457092819615,NA,NA
"AK","1999",0.697,59.09,17.87,24744.3,625,66,39.59088,0.000824111564043361,0.00110339811310095,NA,NA
"AK","2000",0.697,58.73,18.83,26806.6,628,66,42.6856687898089,0.00052819754281167,0.00110869442404384,NA,NA
"AK","2001",0.668,57.84,17.96,28494.1,634,66,44.9433753943218,0.000496853248555227,0.00111928704592961,NA,NA
"AK","2002",0.668,58.3,17.05,29756.8,642,66,46.3501557632399,0.000470367115163915,0.0011334105417773,NA,NA
"AK","2003",0.655,58.5,17.32,32037.9,648,66,49.4412037037037,0.000395310730021216,0.00114400316366307,NA,NA
"AK","2004",0.655,59.6,17.59,35302.4,659,66,53.5696509863429,0.000390759648643187,0.00116342297045365,NA,NA
"AK","2005",0.5525,59.5,17.47,40356.6,667,66,60.5046476761619,0.000357173119257663,0.00117754646630134,NA,NA
"AK","2006",0.5525,60.9,15.17,45094.1,675,66,66.8060740740741,0.000324681980282348,0.00119166996214903,NA,NA
"AK","2007",0.5045,60.4,13.98,49583.7,680,66,72.9172058823529,0.000304351506179776,0.00120049714705384,NA,NA
"AK","2008",0.493,60.1,12.69,55122.5,687,66,80.2365356622999,0.00063628890439162,0.00121285520592057,NA,NA
"AK","2009",NA,58.3,11.37,49957.8,699,66,71.4703862660944,0.000917161546998284,0.00123404044969211,NA,NA
"AK","2010",NA,58.1,11.71,53331.6,714,66,74.6941176470588,0.00084887096494593,0.00126052200440653,NA,NA
"AK","2011",0.1765,57.9,11.59,56896.3,722,64.9,78.8037396121884,0.000775291171002896,0.00127464550025422,NA,NA
"AK","2012",0.1765,57.3,10.82,58283.6,731,64.9,79.7313269493844,0.000839943813155002,0.00129053443308288,NA,NA
"AK","2013",0.512,57,10.79,57247.7,738,64.9,77.5714092140921,0.000823746352091437,0.00130289249194961,NA,NA
"AK","2014",0.512,56.9,11.01,56484.9,737,64.9,76.6416553595658,0.000817431679381946,0.00130112705496865,NA,NA
"AK","2015",0.4255,57.1,11.2,51490.9,738,64.9,69.7708672086721,0.000738819942202251,0.00130289249194961,NA,NA
