Policy - short description,Code in policies dataset,Policy - longer description,Data sources,Primary Raw Data Source,Secondary Raw Data Source,Third Raw Data Source,Fourth Raw Data Source
Climate action plan,climate_action_plan_21 ,Does the state have a plan that details steps it will take to address climate change?  (0 = no; 1 = yes),Center for Climate and Energy Solutions; Morey and Kirsch (2016): Retail Choice in Electricity: What have we Learned in 20 Years?. EMRF. ,https://www.c2es.org/document/climate-action-plans/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Community Solar,community_solar,Does a state have a community solar program? (0=no; 1=yes),NREL,https://www.nrel.gov/docs/fy21osti/80246.pdf,https://www.nrel.gov/docs/fy18osti/70663.pdf,,
CA Car Emissions Standard,environment_CA_car_emissions_standards_21,Does the state adopt California's Car emissions standards (which are more stringent than the federal level)? (0 = no; 1 = yes)," Maryland Department of the Environment. States adopting CaliforniaÕs clean car standards; Wikipedia ""United States vehicle emission standards"" ", Maryland Department of the Environment. States adopting CaliforniaÕs clean car standards. https://mde.maryland.gov/programs/Air/MobileSources/Pages/states.aspx, https://en.wikipedia.org/wiki/United_States_vehicle_emission_standards,,
Greenhouse Gas Cap,environment_ghg_cap_21,Does the state have a binding cap on greenhouse gas emissions in the utility sector (eg; RGGI; WCI)?  (0 = no; 1 = yes),C2ES; Jonathan L. Ramseur: The regional greenhouse gas initiative: Lessons learned and issues for policy makers; California Environmental Protection Agency: Assembly Bill 32 overview.,https://www.c2es.org/content/market-based-state-policy/,Ramseur; Jonathan L. The regional greenhouse gas initiative: Lessons learned and issues for policy makers. http://fas.org/sgp/crs/misc/R41836.pdf; November 2014., California Environmental Protection Agency. Assembly Bill 32 overview. http://www.arb.ca.gov/cc/ab32/ab32.htm.,
State preemption of local gas bans,environment_preemption_naturalgasbans,Does the state prohibit local bans on gas hookups in buildings? 0=No; 1=Yes,"NPR All Things Considered: ""As Cities Grapple With Climate Change; Gas Utilities Fight To Stay In Business""",https://www.npr.org/2021/02/22/967439914/as-cities-grapple-with-climate-change-gas-utilities-fight-to-stay-in-business,,,
Public Benefit Fund,environment_publicbenefit_funds_21,Does the state have a public benefit fund for renewable energy and energy efficiency?  (0 = no; 1 = yes),C2ES; American Council for an Energy Efficient Economy (ACEEE); Database of State Incentives for Renewables and Efficiency (DSIRE); National Governors Association: Clean electricity: Public benefits funds.,Center for Climate and Energy Solutions. Public benefit funds. https://www.c2es.org/document/public-benefit-funds/,https://www.aceee.org/files/proceedings/2004/data/papers/SS04_Panel5_Paper14.pdf,Database of State Incentives for Renewables & Efficiency (DSIRE). Public benefits funds. http://www.dsireusa.org/solar/solarpolicyguide/?id=22.,National Governors Association. Clean electricity: Public benefits funds. http://www.nga.org/files/live/sites/NGA/files/pdf/1008CLEANENERGYELECTRICITYFUNDS.PDF; 2010.
Fuel generation mix disclosure,fgd_21,Does the state require electricity providers to disclose their fuel sources? (0 = no; 1 = yes),DSIRE; Prasad; M. and Munch: S. State-level renewable electricity policies and reductions in carbon emissions. (Energy Policy; 2012),DSIRE ,Prasad; M. & Munch; S. State-level renewable electricity policies and reductions in carbon emissions. (Energy Policy; 2012),,
Emissions performance standards,ghg_standards_21,Does the state have performance standards designed to reduce CO2 emissions?  (0 = no; 1 = yes),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/standards-for-electricity-ghg-emissions/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
On-site renewable generation,netmeter_yearadopted_21,"0 = net metering not adopted
1 = net metering or comparable policy (feed-in tariff) adopted",Correlates of State Policy Project (CSPP),,,,
PACE authorization,pace_21,Has the state authorized Property Assessed Clean Energy programs? (0=no; 1=yes),PACENation; DSIRE,PACENation,DSIRE,,
