description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Average retail price of electricity,cents per kilowatthour,,,,,,,,,,,,,,,,,,,,,,
All sectors,cents per kilowatthour,ELEC.PRICE.US-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : United States,cents per kilowatthour,ELEC.PRICE.US-ALL.A,7.29,7.2,7.44,7.61,8.14,8.9,9.13,9.74,9.82,9.83,9.9,9.84,10.07,10.44,10.41,10.27,10.48,10.53,10.54,10.59,11.18
All sectors : New England,,ELEC.PRICE.NEW-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : Connecticut,cents per kilowatthour,ELEC.PRICE.CT-ALL.A,9.62,9.71,10.16,10.26,12.06,14.83,16.45,17.8,18.07,17.38,16.35,15.54,15.66,17.05,17.77,17.24,17.55,18.41,18.66,19.13,18.78
All sectors : Maine,cents per kilowatthour,ELEC.PRICE.ME-ALL.A,10.55,10.35,9.79,9.69,10.57,11.8,14.59,13.8,13.12,12.84,12.58,11.81,11.86,12.65,12.78,12.8,13.02,13.44,14.04,13.54,14.06
All sectors : Massachusetts,cents per kilowatthour,ELEC.PRICE.MA-ALL.A,11.55,10.06,10.56,10.77,12.18,15.45,15.16,16.23,15.45,14.26,14.11,13.79,14.51,15.35,16.9,16.48,17.12,18.5,18.4,18.19,19.17
All sectors : New Hampshire,cents per kilowatthour,ELEC.PRICE.NH-ALL.A,10.95,10.6,10.83,11.37,12.53,13.84,13.98,14.63,15.09,14.84,14.74,14.19,14.3,15.22,16.02,15.66,16.17,17.01,17.15,16.63,17.42
All sectors : Rhode Island,cents per kilowatthour,ELEC.PRICE.RI-ALL.A,11.45,9.2,10.47,10.96,11.97,13.98,13.12,16.04,14.22,14.07,13.04,12.74,13.72,15.41,17.01,16.28,16.42,18.1,18.49,18.54,18.52
All sectors : Vermont,cents per kilowatthour,ELEC.PRICE.VT-ALL.A,10.86,10.87,10.98,11.02,10.95,11.37,12.04,12.33,12.75,13.24,13.8,14.22,14.61,14.57,14.41,14.46,14.6,15.13,15.36,16.33,16.37
All sectors : Middle Atlantic,,ELEC.PRICE.MAT-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : New Jersey,cents per kilowatthour,ELEC.PRICE.NJ-ALL.A,9.36,9.3,9.48,10.29,10.89,11.88,13.01,14.43,14.53,14.68,14.3,13.68,13.69,13.95,13.74,13.38,13.32,13.23,13.42,13.63,14.1
All sectors : New York,cents per kilowatthour,ELEC.PRICE.NY-ALL.A,11.55,11.16,12.44,12.55,13.95,15.27,15.22,16.47,15.44,16.41,15.89,15.15,15.44,16.25,15.28,14.47,14.74,14.83,14.34,14.87,16.14
All sectors : Pennsylvania,cents per kilowatthour,ELEC.PRICE.PA-ALL.A,8.01,8.06,8.02,8,8.27,8.68,9.08,9.33,9.6,10.31,10.45,9.91,9.81,10.28,10.31,10.19,10.13,10.1,9.81,9.7,10
All sectors : East North Central,,ELEC.PRICE.ENC-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : Illinois,cents per kilowatthour,ELEC.PRICE.IL-ALL.A,6.9,6.94,6.86,6.8,6.95,7.07,8.46,9.23,9.15,9.13,8.97,8.4,8.26,9.36,9.4,9.38,9.49,9.6,9.56,9.75,10.2
All sectors : Indiana,cents per kilowatthour,ELEC.PRICE.IN-ALL.A,5.3,5.34,5.37,5.58,5.88,6.46,6.5,7.09,7.62,7.67,8.01,8.29,8.73,9.06,8.99,9.22,9.77,9.75,9.91,9.92,10.39
All sectors : Michigan,cents per kilowatthour,ELEC.PRICE.MI-ALL.A,6.97,7.09,6.85,6.94,7.23,8.14,8.53,8.93,9.4,9.88,10.4,10.98,11.21,11.03,10.76,11.05,11.28,11.4,11.56,12.21,12.95
All sectors : Ohio,cents per kilowatthour,ELEC.PRICE.OH-ALL.A,6.62,6.77,6.73,6.89,7.08,7.71,7.91,8.39,9.02,9.14,9.03,9.12,9.2,9.73,9.98,9.84,9.84,9.94,9.58,9.44,9.78
All sectors : Wisconsin,cents per kilowatthour,ELEC.PRICE.WI-ALL.A,6.08,6.28,6.64,6.88,7.48,8.13,8.48,9,9.38,9.78,10.21,10.28,10.51,10.57,10.73,10.67,10.76,10.58,10.66,10.82,11.02
