"","year","variable","abb","state","value","value_real","drop"
"1",1950,"z_gasoline_tax","AK","Alaska",NA,NA,NA
"2",1950,"z_gasoline_tax","AL","Alabama",0.06,0.923126409611431,NA
"3",1950,"z_gasoline_tax","AR","Arkansas",0.065,0.999867232860223,NA
"4",1950,"z_gasoline_tax","AZ","Arizona",0.05,0.565056761680219,NA
"5",1950,"z_gasoline_tax","CA","California",0.045,0.542964331883206,NA
"6",1950,"z_gasoline_tax","CO","Colorado",0.06,0.653627446490847,NA
"7",1950,"z_gasoline_tax","CT","Connecticut",0.04,0.333819836799821,NA
"8",1950,"z_gasoline_tax","DC","District of Columbia",NA,NA,NA
"9",1950,"z_gasoline_tax","DE","Delaware",0.05,0.446153378845933,NA
"10",1950,"z_gasoline_tax","FL","Florida",0.07,0.92683837734422,NA
"11",1950,"z_gasoline_tax","GA","Georgia",0.07,1.03151997689148,NA
"12",1950,"z_gasoline_tax","HI","Hawaii",NA,NA,NA
"13",1950,"z_gasoline_tax","IA","Iowa",0.04,0.433085686146355,NA
"14",1950,"z_gasoline_tax","ID","Idaho",0.06,0.678282380707009,NA
"15",1950,"z_gasoline_tax","IL","Illinois",0.03,0.313147801648347,NA
"16",1950,"z_gasoline_tax","IN","Indiana",0.04,0.438060426597126,NA
"17",1950,"z_gasoline_tax","KS","Kansas",0.05,0.529062391428098,NA
"18",1950,"z_gasoline_tax","KY","Kentucky",0.07,1.03449922392437,NA
"19",1950,"z_gasoline_tax","LA","Louisiana",0.09,1.27862804887915,NA
"20",1950,"z_gasoline_tax","MA","Massachusetts",0.03,0.280860146631802,NA
"21",1950,"z_gasoline_tax","MD","Maryland",0.05,0.573831547037751,NA
"22",1950,"z_gasoline_tax","ME","Maine",0.06,0.571367977582469,NA
"23",1950,"z_gasoline_tax","MI","Michigan",0.03,0.330645006400914,NA
"24",1950,"z_gasoline_tax","MN","Minnesota",0.05,0.532550138231121,NA
"25",1950,"z_gasoline_tax","MO","Missouri",0.02,0.215541970755816,NA
"26",1950,"z_gasoline_tax","MS","Mississippi",0.07,1.18427900647021,NA
"27",1950,"z_gasoline_tax","MT","Montana",0.06,0.641729977109768,NA
"28",1950,"z_gasoline_tax","NC","North Carolina",0.07,1.0882301308589,NA
"29",1950,"z_gasoline_tax","ND","North Dakota",0.04,0.405113298283757,NA
"30",1950,"z_gasoline_tax","NE","Nebraska",0.06,0.603620877661533,NA
"31",1950,"z_gasoline_tax","NH","New Hampshire",0.04,0.349695444773156,NA
"32",1950,"z_gasoline_tax","NJ","New Jersey",0.03,0.275120486311629,NA
"33",1950,"z_gasoline_tax","NM","New Mexico",0.07,0.808882873180226,NA
"34",1950,"z_gasoline_tax","NV","Nevada",0.055,0.471427390570305,NA
"35",1950,"z_gasoline_tax","NY","New York",0.04,0.391730983573157,NA
"36",1950,"z_gasoline_tax","OH","Ohio",0.04,0.442925496073569,NA
"37",1950,"z_gasoline_tax","OK","Oklahoma",0.0658,0.865052659845342,NA
"38",1950,"z_gasoline_tax","OR","Oregon",0.06,0.671568069509595,NA
"39",1950,"z_gasoline_tax","PA","Pennsylvania",0.05,0.53625516820919,NA
"40",1950,"z_gasoline_tax","RI","Rhode Island",0.04,0.347762317326791,NA
"41",1950,"z_gasoline_tax","SC","South Carolina",0.07,1.08639430071118,NA
"42",1950,"z_gasoline_tax","SD","South Dakota",0.04,0.402482025672941,NA
"43",1950,"z_gasoline_tax","TN","Tennessee",0.07,1.06040400704921,NA
"44",1950,"z_gasoline_tax","TX","Texas",0.04,0.59916052789795,NA
"45",1950,"z_gasoline_tax","UT","Utah",0.04,0.441006142358578,NA
"46",1950,"z_gasoline_tax","VA","Virginia",0.06,0.80791917169092,NA
"47",1950,"z_gasoline_tax","VT","Vermont",0.05,0.439760955865399,NA
"48",1950,"z_gasoline_tax","WA","Washington",0.065,0.74137710767411,NA
"49",1950,"z_gasoline_tax","WI","Wisconsin",0.04,0.425326714798379,NA
"50",1950,"z_gasoline_tax","WV","West Virginia",0.05,0.674539339321184,NA
"51",1950,"z_gasoline_tax","WY","Wyoming",0.04,0.378953476074061,NA
"52",1951,"z_gasoline_tax","AK","Alaska",NA,NA,NA
"53",1951,"z_gasoline_tax","AL","Alabama",0.06,0.85529852354148,NA
"54",1951,"z_gasoline_tax","AR","Arkansas",0.065,0.926400717246686,NA
"55",1951,"z_gasoline_tax","AZ","Arizona",0.05,0.523538498035877,NA
"56",1951,"z_gasoline_tax","CA","California",0.045,0.503069337598287,NA
"57",1951,"z_gasoline_tax","CO","Colorado",0.06,0.605601339231566,NA
"58",1951,"z_gasoline_tax","CT","Connecticut",0.04,0.309292000177261,NA
"59",1951,"z_gasoline_tax","DC","District of Columbia",NA,NA,NA
"60",1951,"z_gasoline_tax","DE","Delaware",0.05,0.413371692275262,NA
"61",1951,"z_gasoline_tax","FL","Florida",0.07,0.858737749826602,NA
"62",1951,"z_gasoline_tax","GA","Georgia",NA,NA,NA
"63",1951,"z_gasoline_tax","HI","Hawaii",NA,NA,NA
"64",1951,"z_gasoline_tax","IA","Iowa",0.04,0.401264165016007,NA
"65",1951,"z_gasoline_tax","ID","Idaho",0.06,0.628444720822609,NA
"66",1951,"z_gasoline_tax","IL","Illinois",NA,NA,NA
"67",1951,"z_gasoline_tax","IN","Indiana",0.04,0.405873380086473,NA
"68",1951,"z_gasoline_tax","KS","Kansas",0.05,0.490188859679548,NA
"69",1951,"z_gasoline_tax","KY","Kentucky",0.07,0.958488078757555,NA
"70",1951,"z_gasoline_tax","LA","Louisiana",NA,NA,NA
"71",1951,"z_gasoline_tax","MA","Massachusetts",NA,NA,NA
