abb,state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,Alabama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona ,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
AR,Arkansas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,California ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CO,Colorado ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CT,Connecticut ,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DE,Delaware ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
DC,District of Columbia ,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FL,Florida ,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
GA,Georgia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,Hawaii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Idaho ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Indiana ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,Iowa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,Kansas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,Maine ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MD,Maryland ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MA,Massachusetts ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MI,Michigan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Minnesota ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MS,Mississippi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Nevada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NH,New Hampshire ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,New Jersey ,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,New Mexico ,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
NY,New York ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC,North Carolina ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,North Dakota ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,Ohio ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,Oklahoma ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Oregon ,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PA,Pennsylvania ,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RI,Rhode Island ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC,South Carolina ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,South Dakota ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,Tennessee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,Texas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Utah ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,Vermont ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VA,Virginia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WA,Washington ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WV,West Virginia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,Wisconsin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
