abb,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,0,0,0,0,0,0,0,0,0,0,1.25,1.25,1.25,1.25,1.25,1.25,2.5,2.5,2.5,2.5,2.5
CA,California,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.2,1.6
CO,Colorado,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.6,1.7,1.7
CT,Connecticut,0,0,0,0,0,0,0,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5
DC,District of Columbia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,Hawaii,0,0,0,0,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
IA,Iowa,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.9,0.9
ID,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,1.8,1.8,1.8,1.8
IN,Indiana,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.7,0.9,1.1,0,0,0,0,0,0
KS,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Massachusetts,0,0,0,0,0,0,0,0,0,1.4,1.4,2,2.4,2.5,2.5,2.6,2.9,2.9,2.9,2.9,2.9
MD,Maryland,0,0,0,0,0,0,0,0,0,1,1,1.2,1.4,1.6,1.8,2,2,2,2,2,2
ME,Maine,0,0,0,0,0,0,0,0,0,0,1.25,1.35,1.35,1.4,1.6,1.6,1.6,2.4,2.4,2.4,2.4
MI,Michigan,0,0,0,0,0,0,0,0,0,0,0.5,0.7,1,1,1,1,1,1,1,1,1
MN,Minnesota,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
MO,Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,1,1,1.3
NJ,New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
NM,New Mexico,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
NV,Nevada,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
